keep,row_id,table_number,table_title,grouping_basis,group_label,trial_label,combined_group,citation_display,title,authors,year,doi,journal,reference_number,study_design,sample_size,outcome_measure,outcome_result,bibliography_entry_text,bibliography_match_method,notes,needs_review
TRUE,1,4,Overview of economic studies reporting health state utility values,Region / study type,China / CUA,,China / CUA,Li 2022 [54],Cost-effectiveness analysis of axi- cabtagene ciloleucel vs,Li N,2022,,,54,,,,,"Li N, Zheng B, Cai H, et al. Cost-effectiveness analysis of axi- cabtagene ciloleucel vs. salvage chemotherapy for relapsed or refractory adult diffuse large B-cell lymphoma in China. Support Care Cancer. 2022;30(7):6113–21.",reference_number,R/R DLBCL; axi-cel vs salvage chemo,yes
TRUE,2,4,Overview of economic studies reporting health state utility values,Region / study type,Japan / CUA,,Japan / CUA,Wakase 2021 [55],Cost effectiveness analysis of tisagenlecleucel for the treatment of adult patients with relapsed or refractory diffuse large B cell lymphoma in Japan,Wakase S,2021,,,55,,,,,"Wakase S, Teshima T, Zhang J, et al. Cost effectiveness analysis of tisagenlecleucel for the treatment of adult patients with relapsed or refractory diffuse large B cell lymphoma in Japan. Transplant Cell Ther. 2021;27(6):506.e1‒.e10.",reference_number,R/R DLBCL; tisagenlecleucel vs salvage chemo,yes
TRUE,3,4,Overview of economic studies reporting health state utility values,Region / study type,Singapore / CUA,JULIET / CORAL,Singapore / CUA / JULIET / CORAL,Cher 2020 [53],Cost utility analysis of tisa- genlecleucel vs salvage chemotherapy in the treatment of relapsed/ refractory diffuse large B-cell lymphoma from Singapore’s health- care system perspective,Cher BP,2020,,Cost utility analysis of tisa- genlecleucel vs salvage chemotherapy in the treatment of relapsed/ refractory diffuse large B-cell lymphoma from Singapore’s health- care system perspective,53,,,,,"Cher BP, Gan KY, Aziz MIA, et al. Cost utility analysis of tisa- genlecleucel vs salvage chemotherapy in the treatment of relapsed/ refractory diffuse large B-cell lymphoma from Singapore’s health- care system perspective. J Med Econ. 2020;23(11):1321–9.",reference_number,R/R DLBCL; tisagenlecleucel vs salvage chemo,yes
TRUE,4,4,Overview of economic studies reporting health state utility values,Region / study type,Singapore / CUA,JULIET / CORAL,Singapore / CUA / JULIET / CORAL,Wang 2021 [58],Cost-effectiveness and budget impact analyses of tisagenlecleucel in adult patients with relapsed or refractory diffuse large B-cell lymphoma from Singapore’s private insurance payer’s perspective,Wang XJ,2021,,,58,,,,,"Wang XJ, Wang YH, Li SCT, et al. Cost-effectiveness and budget impact analyses of tisagenlecleucel in adult patients with relapsed or refractory diffuse large B-cell lymphoma from Singapore’s private insurance payer’s perspective. J Med Econ. 2021;24(1):637–53.",reference_number,R/R DLBCL; tisagenlecleucel vs salvage chemo,yes
TRUE,5,4,Overview of economic studies reporting health state utility values,Region / study type,Spain / CUA,,Spain / CUA,Bastos-Oreiro 2022 [71],Cost-­ effectiveness analysis of axicabtagene ciloleucel vs,Bastos-Oreiro M,2022,,,71,,,,,"Bastos-Oreiro M, de Las Heras A, Presa M, et  al. Cost-­ effectiveness analysis of axicabtagene ciloleucel vs. tisagenle- cleucel for the management of relapsed/refractory diffuse large B-cell lymphoma in Spain. Cancers (Basel). 2022;14(3):538.",reference_number,R/R DLBCL; axi-cel vs tisagenlecleucel,yes
TRUE,6,4,Overview of economic studies reporting health state utility values,Region / study type,UK / CUA,,UK / CUA,Muszbek 2016 [62],The cost-effectiveness of pixantrone for third/fourth-line treatment of aggressive non- Hodgkin’s lymphoma,Muszbek N,2016,,,62,,,,,"Muszbek N, Kadambi A, Lanitis T, et al. The cost-effectiveness of pixantrone for third/fourth-line treatment of aggressive non- Hodgkin’s lymphoma. Clin Ther. 2016;38(3):503–15.",reference_number,R/R aggressive NHL; pixantrone vs clinical practice,yes
TRUE,7,4,Overview of economic studies reporting health state utility values,Region / study type,US / CEA,GO29365,US / CEA / GO29365,Betts 2020 [61],"US cost-effectiveness of polatuzumab vedotin, bendamustine and rituximab in diffuse large B-cell lymphoma",Betts KA,2020,,,61,,,,,"Betts KA, Thuresson PO, Felizzi F, et al. US cost-effectiveness of polatuzumab vedotin, bendamustine and rituximab in diffuse large B-cell lymphoma. J Comp Eff Res. 2020;9(14):1003–15.",reference_number,R/R DLBCL; pola-BR vs BR,yes
TRUE,8,4,Overview of economic studies reporting health state utility values,Region / study type,US / CEA,GO29365,US / CEA / GO29365,Betts 2020 [72],Cost-effectiveness of polatu- zumab vedotin plus bendamustine-rituximab for transplant-­ ineligible relapsed/refractory diffuse large B-cell lymphoma in the United States,Betts KA,2020,,,72,,,,,"Betts KA, Felizzi F, Dieye I, et al. Cost-effectiveness of polatu- zumab vedotin plus bendamustine-rituximab for transplant-­ ineligible relapsed/refractory diffuse large B-cell lymphoma in the United States. Blood. 2020;136(suppl 1):3.",reference_number,R/R DLBCL; pola-BR vs BR,yes
TRUE,9,4,Overview of economic studies reporting health state utility values,Region / study type,US / CUA,,US / CUA,Liu 2021 [49],Cost-effectiveness of lisocabta- gene maraleucel (liso-cel) versus axicabtagene ciloleucel (axi-cel) for treatment of relapsed or refractory (R/R) large B-cell lym- phoma (LBCL),Parker C,2021,,,49,,,,,"Parker C, Liu FF, Deger K, et al. Cost-effectiveness of lisocabta- gene maraleucel (liso-cel) versus axicabtagene ciloleucel (axi-cel) for treatment of relapsed or refractory (R/R) large B-cell lym- phoma (LBCL). Blood. 2021;138(suppl 1):3003.",reference_number,axi-cel vs tisagenlecleucel,yes
TRUE,10,4,Overview of economic studies reporting health state utility values,Region / study type,US / CUA,,US / CUA,Lin 2019 [50],Cost-effectiveness of chimeric antigen receptor T-cell therapy in multiply relapsed or refractory adult large B-cell lym- phoma,Lin J,2019,,,50,,,,,"Lin J, Muffly LS, Spinner MA, Barnes JI, Owens DK, Goldhaber- Fiebert JD. Cost-effectiveness of chimeric antigen receptor T-cell therapy in multiply relapsed or refractory adult large B-cell lym- phoma. J Clin Oncol. 2019;37(suppl 15):7561.",reference_number,"axi-cel, tisagenlecleucel, chemoimmunotherapy, auto-HSCT",yes
TRUE,11,4,Overview of economic studies reporting health state utility values,Region / study type,US / CUA,,US / CUA,Oluwole 2022 [48],Cost-effectiveness of axi- cabtagene ciloleucel versus lisocabtagene maraleucel for adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy in the US,Oluwole OO,2022,,,48,,,,,"Oluwole OO, Liu R, Diakite I, et al. Cost-effectiveness of axi- cabtagene ciloleucel versus lisocabtagene maraleucel for adult patients with relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy in the US. J Med Econ. 2022;25(1):541–51.",reference_number,axi-cel vs liso-cel,yes
TRUE,12,4,Overview of economic studies reporting health state utility values,Region / study type,US / CUA,,US / CUA,Roth 2018 [51],Cost-effectiveness of axi- cabtagene ciloleucel for adult patients with relapsed or refrac- tory large B-cell lymphoma in the United States,Roth JA,2018,,,51,,,,,"Roth JA, Sullivan SD, Lin VW, et al. Cost-effectiveness of axi- cabtagene ciloleucel for adult patients with relapsed or refrac- tory large B-cell lymphoma in the United States. J Med Econ. 2018;21(12):1238–45.",reference_number,ZUMA-1; axi-cel vs salvage chemo,yes
TRUE,13,4,Overview of economic studies reporting health state utility values,Region / study type,US / CUA,,US / CUA,Whittington 2019 [56],Long-term survival and cost-effectiveness associated with axicabtagene cilo- leucel vs chemotherapy for treatment of B-cell lymphoma,Whittington MD,2019,,,56,,,,,"Whittington MD, McQueen RB, Ollendorf DA, et al. Long-term survival and cost-effectiveness associated with axicabtagene cilo- leucel vs chemotherapy for treatment of B-cell lymphoma. JAMA Netw Open. 2019;2(2): e190035.",reference_number,ZUMA-1; axi-cel vs chemo/HSCT,yes
TRUE,14,4,Overview of economic studies reporting health state utility values,Region / study type,US / CUA,,US / CUA,Calamia 2021 [59],Economic evaluation of polatuzumab-bendamustine-rituximab vs,Calamia M,2021,,,59,,,,,"Calamia M, McBride A, Abraham I. Economic evaluation of polatuzumab-bendamustine-rituximab vs. tafasitamab- lenalidomide in transplant-ineligible R/R DLBCL. J Med Econ. 2021;24(suppl 1):14–24.",reference_number,L-MIND/GO29365; pola-BR vs tafasitamab+len,yes
TRUE,15,4,Overview of economic studies reporting health state utility values,Region / study type,US / CUA,,US / CUA,Patel 2020 [60],Cost- effectiveness of polatuzumab vedotin in relapsed or refrac- tory diffuse large B-cell lymphoma,Patel KK,2020,,,60,,,,,"Patel KK, Isufi I, Kothari S, Foss F, Huntington S. Cost- effectiveness of polatuzumab vedotin in relapsed or refrac- tory diffuse large B-cell lymphoma. Leuk Lymphoma. 2020;61(14):3387–94.",reference_number,NCT02257567; pola-BR vs BR,yes
TRUE,16,4,Overview of economic studies reporting health state utility values,Region / study type,US / CUA,,US / CUA,Qi 2021 [57],Cost-effectiveness analysis of tisagenlecleucel for the treatment of patients with relapsed or refractory diffuse large B-cell lymphoma in the United States,Qi CZ,2021,,,57,,,,,"Qi CZ, Bollu V, Yang H, Dalal A, Zhang S, Zhang J. Cost-effectiveness analysis of tisagenlecleucel for the treatment of patients with relapsed or refractory diffuse large B-cell lymphoma in the United States. Clin Ther. 2021;43(8):1300–19.e8.",reference_number,tisagenlecleucel vs salvage chemo,yes
